=== v10_2ctrl gen rows 75-843 (769 clips) ===
[gen] fold1_room3_mix350 walk tier=caution car_drive+crossing noise=52.5dBA peak=0.002 (8s)
[75-843] 275/769 1129s elapsed, 4.11s/clip
[gen] fold1_room3_mix351 static tier=safe car_drive+siren noise=45.6dBA peak=0.042 (6s)
[gen] fold1_room3_mix352 walk tier=critical car_drive+horn noise=54.8dBA peak=0.009 (6s)
[gen] fold1_room3_mix353 static tier=caution car_drive+backup_beep noise=51.8dBA peak=0.004 (6s)
[gen] fold1_room3_mix354 walk tier=safe car_drive+bike_bell noise=64.6dBA peak=0.001 (7s)
[gen] fold1_room3_mix355 static tier=critical car_drive+crossing noise=44.0dBA peak=0.006 (6s)
[gen] fold1_room3_mix356 walk tier=caution car_drive+siren noise=40.1dBA peak=0.037 (6s)
[gen] fold1_room3_mix357 static tier=safe car_drive+horn noise=48.9dBA peak=0.019 (6s)
[gen] fold1_room3_mix358 walk tier=critical car_drive+backup_beep noise=58.8dBA peak=0.005 (6s)
[gen] fold1_room3_mix359 static tier=caution car_drive+bike_bell noise=46.4dBA peak=0.003 (14s)
[gen] fold1_room3_mix360 walk tier=safe car_drive+crossing noise=44.6dBA peak=0.001 (8s)
[gen] fold1_room3_mix361 static tier=critical car_drive+siren noise=40.5dBA peak=0.740 (6s)
[gen] fold1_room3_mix362 walk tier=caution car_drive+horn noise=63.8dBA peak=0.013 (7s)
