set,clip,tier,scenario,motion,n_fires,false_fires,car_lead,car_oracle
val,fold2_room1_mix0179,safe,v11core,walk,2,0,6.77,7.67
val,fold2_room1_mix0180,critical,v11core,static,4,0,5.21,6.11
val,fold2_room1_mix0181,safe,v11core,walk,5,0,6.6,7.5
val,fold2_room1_mix0182,critical,v11core,walk,8,0,5.47,5.47
val,fold2_room1_mix0183,safe,v11core,static,3,0,5.14,6.04
val,fold2_room1_mix0184,critical,v11core,walk,4,0,0.54,1.2400000000000002
val,fold2_room1_mix0185,caution,v11core,walk,4,0,5.289999999999999,6.39
val,fold2_room1_mix0186,safe,v11core,walk,5,0,5.880000000000001,6.880000000000001
val,fold2_room1_mix0187,critical,v11core,static,2,0,4.970000000000001,5.87
val,fold2_room1_mix0188,na,v11core,walk,0,0,,
val,fold2_room1_mix0189,critical,v11core,walk,3,0,3.7099999999999995,4.71
val,fold2_room1_mix0190,caution,v11core,static,4,0,7.59,8.49
val,fold2_room1_mix0191,caution,v11core,static,2,0,7.34,8.34
val,fold2_room1_mix0192,caution,v11core,walk,2,0,1.04,2.5400000000000005
val,fold2_room1_mix0193,safe,v11core,walk,1,0,1.3899999999999997,2.29
val,fold2_room1_mix0194,na,v11core,walk,1,0,,
val,fold2_room1_mix0195,safe,v11core,static,1,0,6.56,7.359999999999999
val,fold2_room1_mix0196,caution,v11core,static,2,0,1.6800000000000002,1.88
val,fold2_room1_mix0197,caution,v11core,static,1,0,2.5700000000000003,3.37
val,fold2_room1_mix0198,critical,v11core,static,3,0,5.300000000000001,6.4
val,fold2_room1_mix0199,caution,v11core,walk,2,0,5.54,6.44
val,fold2_room1_mix0200,critical,v11core,walk,1,0,3.87,3.4699999999999998
val,fold2_room1_mix0201,safe,v11core,static,1,0,6.48,7.380000000000001
val,fold2_room1_mix0202,critical,v11core,walk,2,0,6.26,7.16
val,fold2_room1_mix0203,critical,v11core,walk,6,0,6.16,6.96
val,fold2_room1_mix0204,na,v11core,walk,0,0,,
val,fold2_room1_mix0205,caution,v11core,walk,3,0,1.88,2.6800000000000006
val,fold2_room1_mix0206,critical,v11core,walk,5,0,6.789999999999999,7.6899999999999995
val,fold2_room1_mix0207,caution,v11core,walk,1,0,5.52,6.52
val,fold2_room1_mix0208,critical,v11core,walk,2,0,2.2300000000000004,2.9300000000000006
val,fold2_room1_mix0209,safe,v11core,static,4,0,5.390000000000001,6.390000000000001
val,fold2_room1_mix0210,critical,v11core,walk,6,0,5.88,6.78
val,fold2_room1_mix0211,safe,v11core,walk,2,0,3.2699999999999996,4.37
val,fold2_room1_mix0212,safe,v11core,static,2,0,3.5300000000000002,4.430000000000001
val,fold2_room1_mix0213,safe,v11core,walk,1,0,5.720000000000001,6.62
val,fold2_room1_mix0214,critical,v11core,static,4,0,6.779999999999999,7.58
val,fold2_room1_mix0215,safe,v11core,static,2,0,6.74,7.64
val,fold2_room1_mix0216,caution,v11core,walk,2,0,7.68,8.68
val,fold2_room1_mix0217,critical,v11core,static,2,0,5.76,6.76
val,fold2_room1_mix0218,caution,v11core,walk,3,0,6.13,7.23
val,fold2_room1_mix0219,critical,v11core,walk,2,0,5.41,4.11
val,fold2_room1_mix0220,critical,v11core,walk,3,0,5.33,6.23
val,fold2_room1_mix0221,na,v11core,walk,0,0,,
val,fold2_room1_mix0222,caution,v11core,static,5,0,2.9199999999999995,4.119999999999999
val,fold2_room1_mix0223,caution,v11core,static,4,0,4.78,5.680000000000001
val,fold2_room1_mix0224,safe,v11core,walk,3,0,2.46,3.3600000000000003
val,fold2_room1_mix0225,caution,v11core,walk,4,0,7.200000000000001,8.100000000000001
val,fold2_room1_mix0226,critical,v11core,static,2,0,5.82,6.82
val,fold2_room1_mix0227,safe,v11core,walk,2,0,6.8999999999999995,8.1
val,fold2_room1_mix0228,safe,v11core,static,6,0,6.029999999999999,6.93
val,fold2_room1_mix0229,na,v11core,static,0,0,,
val,fold2_room1_mix0230,na,v11core,walk,0,0,,
val,fold2_room1_mix0231,caution,v11core,walk,2,0,6.16,7.46
val,fold2_room1_mix0232,critical,v11core,walk,2,0,5.209999999999999,5.909999999999999
val,fold2_room1_mix0233,na,v11core,static,3,0,,
val,fold2_room1_mix0234,caution,v11core,walk,2,0,7.630000000000001,8.530000000000001
val,fold2_room1_mix0235,safe,v11core,static,4,0,5.130000000000001,6.130000000000001
val,fold2_room1_mix0236,na,v11core,walk,2,0,,
val,fold2_room1_mix0237,safe,v11core,static,5,0,7.1,8.0
val,fold2_room1_mix0238,caution,v11core,walk,1,0,0.6799999999999997,1.379999999999999
val,fold2_room1_mix0239,caution,v11core,static,2,0,5.130000000000001,4.03
val,fold2_room1_mix0240,safe,v11core,walk,5,0,5.93,6.930000000000001
val,fold2_room1_mix0241,na,v11core,static,1,0,,
val,fold2_room1_mix0242,critical,v11core,walk,6,0,5.68,6.68
val,fold2_room1_mix0243,caution,v11core,walk,2,0,4.92,5.5200000000000005
val,fold2_room1_mix0244,na,v11core,walk,3,0,,
val,fold2_room1_mix0245,na,v11core,walk,0,0,,
val,fold2_room1_mix0246,critical,v11core,static,2,0,2.3099999999999996,3.8099999999999996
val,fold2_room1_mix0247,critical,v11core,static,2,0,3.7800000000000002,3.5800000000000005
val,fold2_room1_mix0248,na,v11core,static,0,0,,
val,fold2_room1_mix0249,caution,v11core,static,2,0,5.77,6.7700000000000005
val,fold2_room1_mix0250,critical,v11core,walk,3,0,3.17,3.9699999999999998
val,fold2_room1_mix0251,critical,v11core,static,3,0,3.130000000000001,3.8300000000000005
val,fold2_room1_mix0252,critical,v11core,walk,2,0,7.1899999999999995,7.989999999999999
val,fold2_room1_mix0253,caution,v11core,walk,2,0,6.13,6.529999999999999
val,fold2_room1_mix0254,na,v11core,walk,1,0,,
val,fold2_room1_mix0255,safe,v11core,static,2,0,3.22,3.4200000000000004
val,fold2_room1_mix0256,safe,v11core,static,2,0,7.99,8.89
val,fold2_room1_mix0257,critical,v11core,walk,4,0,1.2300000000000004,2.130000000000001
val,fold2_room1_mix0258,na,v11core,static,0,0,,
val,fold2_room1_mix0259,safe,v11core,static,2,0,7.32,8.22
val,fold2_room1_mix0260,critical,v11core,walk,5,0,3.7699999999999996,4.87
val,fold2_room1_mix0261,caution,v11core,static,4,0,2.8900000000000006,4.59
val,fold2_room1_mix0262,safe,v11core,static,2,0,7.24,8.14
val,fold2_room1_mix0263,caution,v11core,static,4,0,1.4900000000000002,2.29
val,fold2_room1_mix0264,caution,v11core,walk,5,0,3.46,4.46
val,fold2_room1_mix0265,caution,v11core,static,1,0,4.14,5.24
val,fold2_room1_mix0266,caution,v11core,static,1,0,3.4800000000000004,0.8800000000000008
val,fold2_room1_mix0267,safe,v11core,static,5,0,6.859999999999999,7.76
val,fold2_room1_mix0268,safe,v11core,walk,3,0,3.6699999999999995,4.77
val,fold2_room1_mix0269,caution,v11core,static,1,0,5.18,6.08
val,fold2_room1_mix0270,critical,v11core,walk,2,0,3.9400000000000004,5.04
val,fold2_room1_mix0271,caution,v11core,walk,3,0,2.8300000000000005,3.6300000000000003
val,fold2_room1_mix0272,safe,v11core,static,2,0,2.89,4.29
val,fold2_room1_mix0273,caution,v11core,walk,2,0,6.07,7.07
val,fold2_room1_mix0274,caution,v11core,static,2,0,4.720000000000001,5.720000000000001
val,fold2_room1_mix0275,safe,v11core,walk,5,0,3.3600000000000003,4.16
val,fold2_room1_mix0276,safe,v11core,walk,3,0,5.97,6.97
val,fold2_room1_mix0277,caution,v11core,static,4,0,7.130000000000001,8.030000000000001
val,fold2_room1_mix0278,critical,v11core,static,7,0,4.609999999999999,5.8100000000000005
val,fold2_room1_mix0279,safe,v11core,static,4,0,6.13,7.03
val,fold2_room1_mix0280,na,v11core,walk,4,0,,
val,fold2_room1_mix0281,critical,v11core,walk,1,0,3.8899999999999997,4.89
val,fold2_room1_mix0282,safe,v11core,walk,4,0,0.019999999999999574,2.0199999999999996
val,fold2_room1_mix0283,safe,v11core,walk,2,0,7.6899999999999995,8.59
val,fold2_room1_mix0284,caution,v11core,static,4,0,1.9500000000000002,3.05
val,fold2_room1_mix0285,caution,v11core,walk,2,0,6.92,7.62
val,fold2_room1_mix0286,na,v11core,static,0,0,,
val,fold2_room1_mix0287,critical,v11core,static,3,0,1.0299999999999994,2.0299999999999994
val,fold2_room1_mix0288,caution,v11core,walk,3,0,4.89,5.89
val,fold2_room1_mix0289,safe,v11core,walk,5,0,5.619999999999999,3.82
val,fold2_room1_mix0290,critical,v11core,static,2,0,5.380000000000001,6.380000000000001
val,fold2_room1_mix0291,critical,v11core,walk,6,0,6.93,7.829999999999999
val,fold2_room1_mix0292,na,v11core,static,2,0,,
val,fold2_room1_mix0293,caution,v11core,static,3,0,0.7000000000000002,1.7999999999999998
val,fold2_room1_mix0294,na,v11core,walk,2,0,,
val,fold2_room1_mix0295,caution,v11core,walk,5,0,4.1,1.2999999999999998
val,fold2_room1_mix0296,caution,v11core,static,4,0,4.49,5.390000000000001
val,fold2_room1_mix0297,caution,v11core,static,3,0,5.869999999999999,6.87
val,fold2_room1_mix0298,safe,v11core,static,4,0,2.83,3.33
val,fold2_room1_mix0299,safe,v11core,walk,1,0,5.96,6.86
val,fold2_room1_mix0300,critical,v11core,static,4,0,4.92,2.0200000000000005
val,fold2_room1_mix0301,critical,v11core,walk,2,0,7.24,8.14
val,fold2_room1_mix0302,critical,v11core,static,2,0,3.84,4.04
val,fold2_room1_mix0303,safe,v11core,walk,6,0,5.029999999999999,6.03
val,fold2_room1_mix0304,safe,v11core,static,1,0,3.23,4.23
val,fold2_room1_mix0305,safe,v11core,walk,7,0,5.52,6.42
val,fold2_room1_mix0306,critical,v11core,walk,3,0,3.5599999999999996,3.8599999999999994
val,fold2_room1_mix0307,caution,v11core,walk,2,0,7.28,8.58
val,fold2_room1_mix0308,na,v11core,static,0,0,,
val,fold2_room1_mix0309,na,v11core,static,1,0,,
val,fold2_room1_mix0310,na,v11core,walk,0,0,,
val,fold2_room1_mix0311,safe,v11core,static,2,0,2.04,0.9400000000000004
val,fold2_room1_mix0312,na,v11core,static,2,0,,
val,fold2_room1_mix0313,critical,v11core,walk,1,0,2.29,3.1899999999999995
val,fold2_room1_mix0314,caution,v11core,static,4,0,6.22,7.22
val,fold2_room1_mix0315,safe,v11core,static,3,0,,2.3199999999999994
val,fold2_room1_mix0316,critical,v11core,walk,2,0,6.4,7.4
val,fold2_room1_mix0317,safe,v11core,walk,2,0,5.9,6.9
val,fold2_room1_mix0318,safe,v11core,walk,4,0,6.25,7.1499999999999995
val,fold2_room1_mix0319,na,v11core,static,2,0,,
val,fold2_room1_mix0320,safe,v11core,walk,2,0,6.9,7.800000000000001
val,fold2_room1_mix0321,na,v11core,static,4,0,,
val,fold2_room1_mix0322,caution,v11core,static,2,0,7.67,8.57
val,fold2_room1_mix0323,safe,v11core,walk,2,0,7.01,7.909999999999999
val,fold2_room1_mix0324,caution,v11core,static,2,0,7.360000000000001,8.260000000000002
val,fold2_room1_mix0325,na,v11core,walk,0,0,,
val,fold2_room1_mix0326,critical,v11core,static,2,0,7.550000000000001,8.450000000000001
val,fold2_room1_mix0327,caution,v11core,walk,1,0,,1.1899999999999995
val,fold2_room1_mix0328,na,v11core,static,4,0,,
val,fold2_room1_mix0329,caution,v11core,walk,6,0,2.8,2.0
val,fold2_room1_mix0330,critical,v11core,walk,1,0,1.8999999999999995,2.6999999999999997
val,fold2_room1_mix0331,safe,v11core,walk,5,0,3.74,4.24
val,fold2_room1_mix0332,na,v11core,walk,0,0,,
val,fold2_room1_mix0333,critical,v11core,static,1,0,2.75,2.75
val,fold2_room1_mix0334,caution,v11core,walk,3,0,1.620000000000001,2.620000000000001
val,fold2_room1_mix0335,caution,v11core,static,2,0,5.0,1.6999999999999993
val,fold2_room1_mix0336,safe,v11core,walk,2,0,3.3299999999999996,4.13
val,fold2_room1_mix0337,safe,v11core,static,1,0,5.26,6.260000000000001
val,fold2_room1_mix0338,na,v11core,walk,1,0,,
val,fold2_room1_mix0339,caution,v11core,walk,2,0,2.9699999999999998,3.9699999999999998
val,fold2_room1_mix0340,critical,v11core,walk,6,0,7.06,8.06
val,fold2_room1_mix0341,critical,v11core,walk,2,0,5.039999999999999,5.9399999999999995
val,fold2_room1_mix0342,caution,v11core,walk,2,0,5.609999999999999,6.51
val,fold2_room1_mix0343,caution,v11core,walk,2,0,4.9799999999999995,5.9799999999999995
val,fold2_room1_mix0344,caution,v11core,walk,7,0,6.58,7.38
val,fold2_room1_mix0345,na,v11core,static,0,0,,
val,fold2_room1_mix0346,safe,v11core,static,1,0,4.65,6.55
val,fold2_room1_mix0347,caution,v11core,static,4,0,5.72,6.82
val,fold2_room1_mix0348,na,v11core,static,0,0,,
val,fold2_room1_mix0349,critical,v11core,static,3,0,3.0700000000000003,3.97
val,fold2_room1_mix0350,critical,v11core,static,4,0,6.99,7.89
