type,a,b,c,d,e,f,g
map,1,,,,,,
poi,82.3,61.6,crossing,,,,
poi,87.0,63.6,signal,,,,
poi,85.9,70.0,crossing,,,,
poi,89.0,56.9,crossing,,,,
water,21.8,144.3,16.6,141.2,3.0,,
water,16.6,141.2,5.4,139.5,3.0,,
water,5.4,139.5,-5.3,135.9,3.0,,
water,-5.3,135.9,-35.6,128.9,3.0,,
water,-35.6,128.9,-40.0,127.2,3.0,,
water,-40.0,127.2,-45.1,122.3,3.0,,
water,-45.1,122.3,-50.3,120.1,3.0,,
water,-50.3,120.1,-55.9,119.0,3.0,,
water,-55.9,119.0,-65.0,118.1,3.0,,
water,-65.0,118.1,-69.6,116.1,3.0,,
water,-69.6,116.1,-72.0,115.6,3.0,,
water,-72.0,115.6,-74.1,116.2,3.0,,
water,-74.1,116.2,-81.7,115.4,3.0,,
water,-81.7,115.4,-84.9,115.4,3.0,,
water,-84.9,115.4,-94.3,116.3,3.0,,
water,-94.3,116.3,-104.0,116.5,3.0,,
water,-104.0,116.5,-111.7,117.6,3.0,,
water,-111.7,117.6,-121.2,119.7,3.0,,
water,-121.2,119.7,-132.3,119.3,3.0,,
water,-132.3,119.3,-142.9,118.4,3.0,,
water,-142.9,118.4,-148.6,118.5,3.0,,
water,-148.6,118.5,-154.6,119.1,3.0,,
water,-154.6,119.1,-159.5,119.8,3.0,,
water,-159.5,119.8,-164.3,120.4,3.0,,
water,-164.3,120.4,-172.4,121.9,3.0,,
water,-172.4,121.9,-179.4,123.6,3.0,,
water,-179.4,123.6,-191.9,129.3,3.0,,
water,-191.9,129.3,-201.7,134.1,3.0,,
water,-201.7,134.1,-215.8,138.6,3.0,,
water,-215.8,138.6,-241.0,149.9,3.0,,
water,-241.0,149.9,-251.0,155.2,3.0,,
water,-251.0,155.2,-257.7,157.8,3.0,,
water,-257.7,157.8,-273.8,168.0,3.0,,
water,-273.8,168.0,-279.3,170.5,3.0,,
water,-279.3,170.5,-288.0,174.1,3.0,,
water,-288.0,174.1,-290.5,176.1,3.0,,
water,-290.5,176.1,-293.8,176.3,3.0,,
water,-293.8,176.3,-295.8,176.8,3.0,,
water,-295.8,176.8,-300.4,179.3,3.0,,
water,-300.4,179.3,-304.7,182.1,3.0,,
water,-304.7,182.1,-315.0,184.7,3.0,,
water,-315.0,184.7,-318.3,187.8,3.0,,
water,-318.3,187.8,-320.4,189.4,3.0,,
water,-320.4,189.4,-323.1,189.6,3.0,,
water,-323.1,189.6,-327.3,191.1,3.0,,
water,-327.3,191.1,-337.3,195.9,3.0,,
water,-337.3,195.9,-347.5,199.3,3.0,,
water,-347.5,199.3,-353.7,201.3,3.0,,
water,-353.7,201.3,-357.6,202.9,3.0,,
water,-357.6,202.9,-358.9,203.7,3.0,,
water,-358.9,203.7,-361.6,203.8,3.0,,
water,-361.6,203.8,-386.4,210.5,3.0,,
water,-386.4,210.5,-388.4,212.9,3.0,,
water,-388.4,212.9,-388.7,213.8,3.0,,
water,-388.7,213.8,-399.6,216.7,3.0,,
water,-399.6,216.7,-400.8,215.9,3.0,,
water,-400.8,215.9,-401.8,215.8,3.0,,
water,-401.8,215.8,-407.6,217.1,3.0,,
water,-407.6,217.1,-422.5,219.1,3.0,,
water,-422.5,219.1,-425.1,219.6,3.0,,
water,-425.1,219.6,-427.3,219.9,3.0,,
water,-427.3,219.9,-428.7,219.4,3.0,,
water,-428.7,219.4,-430.8,220.3,3.0,,
water,-430.8,220.3,-446.9,223.3,3.0,,
water,-446.9,223.3,-448.1,224.4,3.0,,
water,-448.1,224.4,-450.8,224.6,3.0,,
water,-450.8,224.6,-456.2,223.8,3.0,,
water,-456.2,223.8,-472.0,225.7,3.0,,
water,-472.0,225.7,-474.9,225.9,3.0,,
water,-474.9,225.9,-476.9,225.0,3.0,,
water,-476.9,225.0,-478.0,225.1,3.0,,
water,-478.0,225.1,-486.3,227.4,3.0,,
water,-486.3,227.4,-504.4,229.4,3.0,,
water,-504.4,229.4,-511.5,231.4,3.0,,
water,-511.5,231.4,-517.4,232.4,3.0,,
water,-517.4,232.4,-521.4,232.4,3.0,,
water,-521.4,232.4,-522.5,231.4,3.0,,
water,-522.5,231.4,-523.6,229.9,3.0,,
water,-523.6,229.9,-524.5,229.9,3.0,,
water,-524.5,229.9,-526.0,231.3,3.0,,
water,-526.0,231.3,-527.8,234.0,3.0,,
water,-527.8,234.0,-540.1,234.1,3.0,,
water,-540.1,234.1,-545.1,232.0,3.0,,
water,-545.1,232.0,-550.6,231.5,3.0,,
water,-550.6,231.5,-558.9,231.8,3.0,,
water,-558.9,231.8,-566.9,231.6,3.0,,
water,-566.9,231.6,-575.8,230.1,3.0,,
water,-575.8,230.1,-584.7,229.6,3.0,,
water,-584.7,229.6,-623.9,221.8,3.0,,
water,-623.9,221.8,-637.0,221.5,3.0,,
water,-637.0,221.5,-655.7,215.1,3.0,,
water,-655.7,215.1,-658.0,215.1,3.0,,
water,-658.0,215.1,-668.0,209.3,3.0,,
water,-668.0,209.3,-677.8,205.0,3.0,,
water,-677.8,205.0,-685.4,202.3,3.0,,
water,-685.4,202.3,-703.5,197.8,3.0,,
water,-703.5,197.8,-714.2,192.7,3.0,,
water,-714.2,192.7,-727.5,185.0,3.0,,
water,-727.5,185.0,-732.2,181.0,3.0,,
water,-732.2,181.0,-741.4,172.6,3.0,,
water,-741.4,172.6,-750.5,166.0,3.0,,
water,-750.5,166.0,-754.6,159.7,3.0,,
water,-754.6,159.7,-757.1,158.0,3.0,,
water,-757.1,158.0,-759.8,155.2,3.0,,
water,-759.8,155.2,-762.4,150.9,3.0,,
water,-762.4,150.9,-765.6,147.1,3.0,,
water,-765.6,147.1,-774.9,136.1,3.0,,
water,-774.9,136.1,-780.4,130.9,3.0,,
water,-780.4,130.9,-782.2,128.5,3.0,,
water,-782.2,128.5,-785.8,125.2,3.0,,
water,-785.8,125.2,-788.2,123.4,3.0,,
water,-788.2,123.4,-792.5,121.0,3.0,,
water,-792.5,121.0,-801.3,115.5,3.0,,
water,-801.3,115.5,-806.0,112.2,3.0,,
water,-806.0,112.2,-809.0,109.0,3.0,,
water,-809.0,109.0,-814.5,104.4,3.0,,
water,-814.5,104.4,-817.6,102.6,3.0,,
water,-817.6,102.6,-820.9,99.7,3.0,,
water,-820.9,99.7,-823.0,96.9,3.0,,
water,-823.0,96.9,-824.0,95.6,3.0,,
water,-824.0,95.6,-826.0,93.9,3.0,,
water,-826.0,93.9,-829.2,91.9,3.0,,
water,-829.2,91.9,-831.3,90.0,3.0,,
water,-831.3,90.0,-832.5,88.5,3.0,,
water,-832.5,88.5,-833.9,86.4,3.0,,
water,-833.9,86.4,-838.4,83.8,3.0,,
water,-838.4,83.8,-840.1,83.0,3.0,,
water,-840.1,83.0,-860.5,63.6,3.0,,
water,-860.5,63.6,-862.3,60.0,3.0,,
water,-862.3,60.0,-865.8,57.1,3.0,,
water,-865.8,57.1,-868.0,52.9,3.0,,
