half,idx,label,strong,crit,caut,safe,safe_ho,lead,lead25,n_fire
0,131,ts+brg5+mn4/4+rc(0.05,15)+link,73.88,94.85,88.13,74.05,31.82,1.30,23.28,1552
0,132,ts+brg5+mn4/4+rc(0.10,8),72.51,94.85,88.13,74.52,31.82,1.20,21.80,1541
0,133,ts+brg5+mn4/4+rc(0.10,8)+link,72.85,94.85,87.60,74.29,31.82,1.25,21.88,1541
0,134,ts+brg5+mn4/4+rc(0.10,15),78.69,94.85,89.18,71.90,31.82,1.50,25.90,1604
0,135,ts+brg5+mn4/4+rc(0.10,15)+link,79.04,94.85,88.65,71.67,31.82,1.50,25.98,1604
0,136,ts+brg5+mn4/4+rc(0.20,8),75.26,94.50,88.39,74.29,31.82,1.30,21.97,1534
0,137,ts+brg5+mn4/4+rc(0.20,8)+link,75.26,94.50,87.86,74.05,31.82,1.30,22.04,1534
0,138,ts+brg5+mn4/4+rc(0.20,15),85.22,95.19,91.03,65.24,31.82,1.70,30.55,1642
0,139,ts+brg5+mn4/4+rc(0.20,15)+link,85.22,95.19,90.77,65.00,31.82,1.70,30.60,1642
0,140,ts+brg5+mn4/6,74.91,95.53,88.92,72.38,27.27,1.50,26.99,1692
0,141,ts+brg5+mn4/6+link,75.26,95.53,88.65,72.14,27.27,1.50,27.04,1691
0,142,ts+brg5+mn4/6+rc(0.05,8),75.26,95.53,88.92,72.38,27.27,1.50,27.32,1696
0,143,ts+brg5+mn4/6+rc(0.05,8)+link,75.60,95.53,88.65,72.14,27.27,1.50,27.36,1695
0,144,ts+brg5+mn4/6+rc(0.05,15),77.32,95.53,89.45,71.67,27.27,1.60,29.34,1735
0,145,ts+brg5+mn4/6+rc(0.05,15)+link,77.66,95.53,89.18,71.43,27.27,1.60,29.38,1734
0,146,ts+brg5+mn4/6+rc(0.10,8),75.95,95.53,88.92,71.90,27.27,1.50,27.48,1709
0,147,ts+brg5+mn4/6+rc(0.10,8)+link,76.29,95.53,88.65,71.67,27.27,1.50,27.52,1708
0,148,ts+brg5+mn4/6+rc(0.10,15),80.41,95.19,90.50,69.52,27.27,1.75,31.29,1798
0,149,ts+brg5+mn4/6+rc(0.10,15)+link,80.76,95.19,90.24,69.29,27.27,1.80,31.34,1797
0,150,ts+brg5+mn4/6+rc(0.20,8),78.01,95.19,89.45,71.43,27.27,1.50,27.44,1707
0,151,ts+brg5+mn4/6+rc(0.20,8)+link,78.01,95.19,89.18,71.19,27.27,1.50,27.48,1706
0,152,ts+brg5+mn4/6+rc(0.20,15),86.94,95.53,93.67,61.67,27.27,1.80,34.44,1805
0,153,ts+brg5+mn4/6+rc(0.20,15)+link,86.94,95.53,93.67,61.43,27.27,1.80,34.44,1804
0,154,ts+brg5+mn3/5,83.85,96.56,92.88,65.24,9.09,1.90,36.49,1973
0,155,ts+brg5+mn3/5+link,84.19,96.91,93.14,65.00,9.09,1.90,36.38,1973
0,156,ts+brg5+mn3/5+rc(0.05,8),84.54,96.56,92.88,65.24,9.09,1.90,36.49,1978
0,157,ts+brg5+mn3/5+rc(0.05,8)+link,84.54,96.91,93.14,65.00,9.09,1.90,36.38,1978
0,158,ts+brg5+mn3/5+rc(0.05,15),85.57,96.56,93.40,64.52,9.09,1.90,37.95,2020
0,159,ts+brg5+mn3/5+rc(0.05,15)+link,85.57,96.91,93.67,64.29,9.09,1.90,37.83,2020
0,160,ts+brg5+mn3/5+rc(0.10,8),84.88,96.56,92.88,65.24,9.09,1.90,36.65,1990
0,161,ts+brg5+mn3/5+rc(0.10,8)+link,84.88,96.91,93.14,65.00,9.09,1.90,36.54,1990
0,162,ts+brg5+mn3/5+rc(0.10,15),87.97,96.56,93.67,62.14,9.09,2.00,39.94,2072
0,163,ts+brg5+mn3/5+rc(0.10,15)+link,87.97,96.91,93.93,61.90,9.09,2.00,39.81,2072
0,164,ts+brg5+mn3/5+rc(0.20,8),86.60,96.56,93.14,64.76,9.09,1.90,36.59,1982
0,165,ts+brg5+mn3/5+rc(0.20,8)+link,86.60,96.91,93.40,64.52,9.09,1.90,36.48,1981
0,166,ts+brg5+mn3/5+rc(0.20,15),91.75,96.91,95.51,56.19,9.09,2.00,41.30,2036
0,167,ts+brg5+mn3/5+rc(0.20,15)+link,91.41,97.25,95.78,55.95,9.09,2.00,41.18,2035
0,168,ts+brg9+mn4/4,82.82,96.56,91.82,67.38,4.55,1.60,31.64,1596
0,169,ts+brg9+mn4/4+link,82.82,96.91,91.82,67.14,4.55,1.60,31.59,1596
0,170,ts+brg9+mn4/4+rc(0.05,8),83.16,96.56,91.82,67.38,4.55,1.60,31.96,1602
0,171,ts+brg9+mn4/4+rc(0.05,8)+link,83.16,96.91,91.82,67.14,4.55,1.60,31.90,1602
0,172,ts+brg9+mn4/4+rc(0.05,15),85.57,96.22,92.08,66.90,4.55,1.70,33.70,1616
0,173,ts+brg9+mn4/4+rc(0.05,15)+link,85.57,96.56,92.08,66.67,4.55,1.70,33.65,1616
0,174,ts+brg9+mn4/4+rc(0.10,8),83.85,96.56,91.82,67.14,4.55,1.70,32.43,1601
0,175,ts+brg9+mn4/4+rc(0.10,8)+link,83.85,96.91,91.82,66.90,4.55,1.65,32.38,1601
0,176,ts+brg9+mn4/4+rc(0.10,15),86.60,95.88,92.08,65.00,4.55,1.80,35.51,1621
0,177,ts+brg9+mn4/4+rc(0.10,15)+link,86.60,96.22,92.08,64.76,4.55,1.80,35.45,1621
0,178,ts+brg9+mn4/4+rc(0.20,8),84.88,96.56,91.82,66.67,4.55,1.70,32.59,1598
0,179,ts+brg9+mn4/4+rc(0.20,8)+link,84.88,96.91,91.82,66.43,4.55,1.70,32.54,1598
0,180,ts+brg9+mn4/4+rc(0.20,15),89.35,96.91,92.88,58.10,4.55,1.90,36.44,1631
0,181,ts+brg9+mn4/4+rc(0.20,15)+link,89.35,97.25,92.88,57.86,4.55,1.90,36.38,1631
0,182,ts+brg9+mn4/6,84.88,96.56,93.40,65.48,4.55,1.70,34.33,1721
0,183,ts+brg9+mn4/6+link,84.54,96.91,93.40,65.24,4.55,1.70,34.28,1720
0,184,ts+brg9+mn4/6+rc(0.05,8),85.57,96.56,93.40,65.24,4.55,1.70,34.96,1732
0,185,ts+brg9+mn4/6+rc(0.05,8)+link,85.22,96.91,93.40,65.00,4.55,1.70,34.91,1730
0,186,ts+brg9+mn4/6+rc(0.05,15),86.94,96.56,93.40,64.76,4.55,1.80,36.06,1752
0,187,ts+brg9+mn4/6+rc(0.05,15)+link,86.60,96.91,93.40,64.52,4.55,1.80,36.01,1750
0,188,ts+brg9+mn4/6+rc(0.10,8),85.57,96.56,93.40,65.24,4.55,1.70,35.28,1723
