t_s,obj,class,az_deg,dist_m
2.3,6,car,-177.0,46.68
2.4,6,car,-177.0,45.69
2.5,6,car,-176.9,44.69
2.6,6,car,-176.8,43.70
2.7,6,car,-176.8,42.71
2.8,6,car,-176.7,41.72
2.9,6,car,-176.6,40.74
3.0,6,car,-176.5,39.75
3.1,6,car,-176.4,38.76
3.2,6,car,-176.3,37.77
3.3,6,car,-176.2,36.78
3.4,6,car,-176.1,35.79
3.5,6,car,-176.0,34.80
3.6,6,car,-175.9,33.81
3.7,6,car,-175.8,32.82
3.8,6,car,-175.6,31.83
3.9,6,car,-175.5,30.84
4.0,6,car,-175.4,29.85
4.1,6,car,-175.2,28.87
4.2,6,car,-175.0,27.88
4.3,6,car,-174.8,26.89
4.4,6,car,-174.6,25.90
4.5,6,car,-174.4,24.92
4.6,6,car,-174.2,23.93
4.7,6,car,-173.9,22.94
4.8,6,car,-173.7,21.96
4.9,6,car,-173.4,20.97
5.0,6,car,-173.0,19.99
5.1,6,car,-172.7,19.01
5.2,6,car,-172.3,18.02
5.3,6,car,-171.8,17.04
5.4,6,car,-171.3,16.06
5.5,6,car,-170.8,15.08
5.6,6,car,-170.1,14.11
5.7,6,car,-169.4,13.13
5.8,6,car,-168.5,12.16
5.9,6,car,-167.5,11.19
6.0,6,car,-166.3,10.23
6.1,6,car,-164.9,9.27
6.2,6,car,-163.1,8.32
6.3,6,car,-160.8,7.38
6.4,6,car,-157.9,6.45
6.5,6,car,-154.1,5.55
6.6,6,car,-148.8,4.69
6.7,6,car,-141.2,3.89
6.8,6,car,-129.9,3.19
6.9,6,car,-113.4,2.69
7.0,6,car,-91.9,2.50
7.1,6,car,-70.1,2.69
7.2,6,car,-53.0,3.19
7.3,6,car,-41.2,3.89
7.4,6,car,-33.2,4.69
7.5,6,car,-27.6,5.55
7.6,6,car,-23.5,6.45
7.7,6,car,-20.4,7.38
7.8,6,car,-18.0,8.32
7.9,6,car,-16.1,9.27
8.0,6,car,-14.6,10.23
8.1,6,car,-13.3,11.19
8.2,6,car,-12.2,12.16
8.3,6,car,-11.3,13.13
8.4,6,car,-10.5,14.11
8.5,6,car,-9.8,15.08
8.6,6,car,-9.2,16.06
8.7,6,car,-8.7,17.04
8.8,6,car,-8.2,18.02
8.9,6,car,-7.8,19.01
9.0,6,car,-7.4,19.99
9.1,6,car,-7.1,20.97
9.2,6,car,-6.7,21.96
9.3,6,car,-6.5,22.94
9.4,6,car,-6.2,23.93
9.5,6,car,-5.9,24.92
9.6,6,car,-5.7,25.90
9.7,6,car,-5.5,26.89
9.8,6,car,-5.3,27.88
9.9,6,car,-5.1,28.87
