half,idx,label,strong,crit,caut,safe,lead,lead25,n_fire
0,160,ts+brg5+mn3/5+rc(0.10,8),90.30,98.33,95.15,62.04,1.70,33.88,2000
0,161,ts+brg5+mn3/5+rc(0.10,8)+link,89.63,98.33,94.90,62.04,1.70,33.93,2006
0,162,ts+brg5+mn3/5+rc(0.10,15),93.31,98.33,95.15,57.51,1.90,36.88,2088
0,163,ts+brg5+mn3/5+rc(0.10,15)+link,93.31,98.33,94.90,57.51,1.90,36.94,2094
0,164,ts+brg5+mn3/5+rc(0.20,8),92.31,98.33,95.66,61.47,1.70,33.63,2005
0,165,ts+brg5+mn3/5+rc(0.20,8)+link,91.64,98.33,95.41,61.47,1.70,33.68,2011
0,166,ts+brg5+mn3/5+rc(0.20,15),95.99,98.66,96.17,49.86,2.00,38.54,2115
0,167,ts+brg5+mn3/5+rc(0.20,15)+link,95.99,98.66,95.92,49.86,2.00,38.60,2121
0,168,ts+brg9+mn4/4,83.95,97.32,94.64,65.72,1.40,29.15,1620
0,169,ts+brg9+mn4/4+link,84.28,97.32,94.39,65.72,1.40,29.20,1625
0,170,ts+brg9+mn4/4+rc(0.05,8),84.62,97.32,94.64,65.72,1.40,29.61,1626
0,171,ts+brg9+mn4/4+rc(0.05,8)+link,84.95,97.32,94.39,65.72,1.40,29.65,1631
0,172,ts+brg9+mn4/4+rc(0.05,15),85.62,97.32,94.64,63.74,1.50,31.12,1642
0,173,ts+brg9+mn4/4+rc(0.05,15)+link,85.95,97.32,94.39,63.74,1.50,31.16,1647
0,174,ts+brg9+mn4/4+rc(0.10,8),84.95,97.32,94.64,65.72,1.40,29.46,1625
0,175,ts+brg9+mn4/4+rc(0.10,8)+link,85.28,97.32,94.39,65.72,1.40,29.50,1630
0,176,ts+brg9+mn4/4+rc(0.10,15),86.96,96.99,95.15,61.76,1.50,31.37,1645
0,177,ts+brg9+mn4/4+rc(0.10,15)+link,87.29,96.99,94.90,61.76,1.50,31.42,1650
0,178,ts+brg9+mn4/4+rc(0.20,8),85.28,97.32,94.90,64.59,1.40,29.41,1630
0,179,ts+brg9+mn4/4+rc(0.20,8)+link,85.62,97.32,94.64,64.59,1.40,29.46,1635
0,180,ts+brg9+mn4/4+rc(0.20,15),90.30,97.66,94.64,55.81,1.70,32.58,1639
0,181,ts+brg9+mn4/4+rc(0.20,15)+link,90.64,97.66,94.39,55.81,1.70,32.63,1644
0,182,ts+brg9+mn4/6,86.29,97.66,94.90,65.16,1.50,31.78,1745
0,183,ts+brg9+mn4/6+link,86.29,97.66,94.64,65.16,1.50,31.83,1751
0,184,ts+brg9+mn4/6+rc(0.05,8),86.62,97.66,95.15,65.16,1.60,31.88,1752
0,185,ts+brg9+mn4/6+rc(0.05,8)+link,86.62,97.66,94.90,65.16,1.55,31.93,1758
0,186,ts+brg9+mn4/6+rc(0.05,15),87.63,97.66,95.15,63.46,1.60,32.93,1766
0,187,ts+brg9+mn4/6+rc(0.05,15)+link,87.63,97.66,94.90,63.46,1.60,32.98,1772
0,188,ts+brg9+mn4/6+rc(0.10,8),86.96,97.66,95.15,65.16,1.60,31.73,1750
0,189,ts+brg9+mn4/6+rc(0.10,8)+link,86.96,97.66,94.90,65.16,1.55,31.78,1756
0,190,ts+brg9+mn4/6+rc(0.10,15),88.63,97.66,95.92,60.91,1.70,32.93,1772
0,191,ts+brg9+mn4/6+rc(0.10,15)+link,88.63,97.66,95.66,60.91,1.70,32.98,1778
0,192,ts+brg9+mn4/6+rc(0.20,8),87.29,97.66,95.41,63.74,1.50,31.83,1753
0,193,ts+brg9+mn4/6+rc(0.20,8)+link,87.29,97.66,95.15,63.74,1.50,31.88,1759
0,194,ts+brg9+mn4/6+rc(0.20,15),91.30,97.99,95.41,54.39,1.80,34.63,1740
0,195,ts+brg9+mn4/6+rc(0.20,15)+link,91.64,97.99,95.15,54.39,1.80,34.68,1746
0,196,ts+brg9+mn3/5,92.64,97.99,95.92,59.49,1.80,38.42,1948
0,197,ts+brg9+mn3/5+link,92.31,97.99,95.92,59.49,1.80,38.42,1955
0,198,ts+brg9+mn3/5+rc(0.05,8),93.31,97.99,95.66,59.49,1.80,38.47,1953
0,199,ts+brg9+mn3/5+rc(0.05,8)+link,92.98,97.99,95.66,59.49,1.80,38.47,1960
0,200,ts+brg9+mn3/5+rc(0.05,15),94.31,98.33,95.66,58.36,1.90,38.57,1966
0,201,ts+brg9+mn3/5+rc(0.05,15)+link,93.98,98.33,95.66,58.36,1.90,38.57,1973
0,202,ts+brg9+mn3/5+rc(0.10,8),93.65,97.99,95.66,59.49,1.80,38.62,1948
0,203,ts+brg9+mn3/5+rc(0.10,8)+link,93.31,97.99,95.66,59.49,1.80,38.62,1955
0,204,ts+brg9+mn3/5+rc(0.10,15),94.65,98.33,95.92,56.09,1.90,38.66,1967
0,205,ts+brg9+mn3/5+rc(0.10,15)+link,94.65,98.33,95.92,56.09,1.90,38.66,1974
0,206,ts+brg9+mn3/5+rc(0.20,8),93.65,97.99,95.66,58.64,1.80,38.77,1941
0,207,ts+brg9+mn3/5+rc(0.20,8)+link,93.31,97.99,95.66,58.64,1.80,38.77,1948
0,208,ts+brg9+mn3/5+rc(0.20,15),96.32,98.33,95.92,48.44,2.00,39.85,1908
0,209,ts+brg9+mn3/5+rc(0.20,15)+link,96.32,98.33,95.92,48.44,2.00,39.85,1915
0,210,ts+brg13+mn4/4,88.96,97.99,94.90,64.02,1.40,30.98,1620
0,211,ts+brg13+mn4/4+link,88.96,97.99,94.90,64.31,1.40,30.98,1625
0,212,ts+brg13+mn4/4+rc(0.05,8),89.30,97.99,94.90,64.02,1.40,31.28,1625
0,213,ts+brg13+mn4/4+rc(0.05,8)+link,89.30,97.99,94.90,64.31,1.40,31.28,1630
0,214,ts+brg13+mn4/4+rc(0.05,15),89.63,97.66,95.15,63.17,1.40,30.98,1623
0,215,ts+brg13+mn4/4+rc(0.05,15)+link,89.63,97.66,95.15,63.46,1.40,30.98,1628
0,216,ts+brg13+mn4/4+rc(0.10,8),89.30,97.99,94.90,64.02,1.40,31.13,1624
0,217,ts+brg13+mn4/4+rc(0.10,8)+link,89.30,97.99,94.90,64.31,1.40,31.13,1629
0,218,ts+brg13+mn4/4+rc(0.10,15),90.30,97.66,94.90,60.06,1.60,31.93,1627
0,219,ts+brg13+mn4/4+rc(0.10,15)+link,90.64,97.66,94.90,60.34,1.60,31.93,1632
0,220,ts+brg13+mn4/4+rc(0.20,8),89.30,97.99,94.90,63.17,1.40,31.13,1620
0,221,ts+brg13+mn4/4+rc(0.20,8)+link,89.30,97.99,94.90,63.46,1.40,31.13,1625
0,222,ts+brg13+mn4/4+rc(0.20,15),92.98,98.33,95.41,53.26,1.70,32.93,1618
0,223,ts+brg13+mn4/4+rc(0.20,15)+link,93.31,98.33,95.41,53.26,1.70,32.93,1623
0,224,ts+brg13+mn4/6,89.97,97.99,95.41,62.32,1.60,33.28,1741
0,225,ts+brg13+mn4/6+link,89.97,97.99,95.41,62.61,1.60,33.28,1747
0,226,ts+brg13+mn4/6+rc(0.05,8),90.30,97.99,95.41,62.61,1.60,33.43,1750
0,227,ts+brg13+mn4/6+rc(0.05,8)+link,90.30,97.99,95.41,62.89,1.60,33.43,1756
0,228,ts+brg13+mn4/6+rc(0.05,15),90.30,97.66,95.66,61.76,1.70,34.03,1744
0,229,ts+brg13+mn4/6+rc(0.05,15)+link,90.64,97.66,95.66,62.04,1.70,34.03,1750
0,230,ts+brg13+mn4/6+rc(0.10,8),89.97,97.99,95.41,62.61,1.60,33.43,1743
0,231,ts+brg13+mn4/6+rc(0.10,8)+link,89.97,97.99,95.41,62.89,1.60,33.43,1749
0,232,ts+brg13+mn4/6+rc(0.10,15),91.30,97.99,95.66,58.64,1.70,34.58,1729
0,233,ts+brg13+mn4/6+rc(0.10,15)+link,91.64,97.99,95.66,58.92,1.70,34.58,1736
0,234,ts+brg13+mn4/6+rc(0.20,8),89.97,97.99,95.15,61.76,1.60,33.33,1730
0,235,ts+brg13+mn4/6+rc(0.20,8)+link,89.97,97.99,95.15,62.04,1.60,33.33,1736
0,236,ts+brg13+mn4/6+rc(0.20,15),93.65,98.33,95.41,51.27,1.80,35.03,1704
0,237,ts+brg13+mn4/6+rc(0.20,15)+link,93.98,98.33,95.41,51.27,1.80,35.03,1711
0,238,ts+brg13+mn3/5,94.31,98.66,95.92,58.07,1.90,39.20,1919
0,239,ts+brg13+mn3/5+link,94.65,98.66,95.92,58.07,1.90,39.20,1926
0,240,ts+brg13+mn3/5+rc(0.05,8),94.65,98.66,95.66,58.36,1.90,39.25,1923
0,241,ts+brg13+mn3/5+rc(0.05,8)+link,94.98,98.66,95.66,58.36,1.90,39.25,1930
0,242,ts+brg13+mn3/5+rc(0.05,15),94.98,98.33,95.92,57.79,2.00,39.40,1911
0,243,ts+brg13+mn3/5+rc(0.05,15)+link,95.32,98.33,95.92,57.79,2.00,39.40,1918
0,244,ts+brg13+mn3/5+rc(0.10,8),94.31,98.66,95.66,58.36,1.95,39.40,1916
0,245,ts+brg13+mn3/5+rc(0.10,8)+link,94.65,98.66,95.66,58.36,1.95,39.40,1923
0,246,ts+brg13+mn3/5+rc(0.10,15),95.65,98.33,95.66,53.54,2.00,40.06,1889
0,247,ts+brg13+mn3/5+rc(0.10,15)+link,95.99,98.33,95.66,53.54,2.00,40.06,1896
0,248,ts+brg13+mn3/5+rc(0.20,8),94.65,98.66,95.41,57.51,1.90,39.61,1892
0,249,ts+brg13+mn3/5+rc(0.20,8)+link,94.98,98.66,95.41,57.51,1.90,39.61,1899
0,250,ts+brg13+mn3/5+rc(0.20,15),97.32,98.33,95.92,46.46,2.00,40.30,1842
0,251,ts+brg13+mn3/5+rc(0.20,15)+link,97.32,98.33,95.92,46.46,2.00,40.30,1849
1,0,brg5+mn4/4,75.84,92.95,89.31,77.86,1.20,27.55,1498
1,1,brg5+mn4/4+link,76.85,93.62,89.31,77.86,1.20,27.46,1504
1,2,brg5+mn4/4+rc(0.05,8),75.84,92.95,89.31,77.86,1.20,27.71,1503
